Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Expert Recommendation Score,News Sentiment Score,Total Score,Rank
TATAMOTORS,Tata Motors,auto,673.25,7.81,1.54,47.9,,606.3,1179.0,4.53,,7.17,11.22,0.62,0.97,42.2,6.25,-4.61,,0.95,,,Positive,,,,,4,0,10,0,4,4,4,10,8,6,0,10,4.8999999999999995,16.0
BHARATFORG,Bharat Forge,auto,1159.45,62.32,1.06,57.83,19.2,1002.15,1804.5,1.9,5.1,5.8,17.23,0.64,1.08,13.09,5.71,7.68,,1.08,,,Positive,,,,,4,6,8,0,10,4,6,6,6,6,0,10,5.6000000000000005,12.0
APOLLOTYRE,Apollo Tyres,auto,424.45,20.97,0.95,55.63,20.32,370.9,584.9,2.73,-29.73,5.04,13.15,0.6,1.28,13.0,6.83,16.59,1.89,0.34,,,Positive,,,,,4,1,8,0,10,4,6,6,10,6,0,10,5.05,15.0
ASHOKLEY,Ashok Leyland,auto,204.5,21.2,0.44,44.47,9.63,166.25,264.65,4.52,18.86,5.96,18.6,0.41,1.09,23.85,7.16,21.47,5.82,3.33,,,Positive,,,,,4,8,10,0,4,4,8,8,2,8,0,10,6.199999999999999,8.0
MARUTI,Maruti Suzuki India,auto,11490.0,24.91,0.36,37.16,462.51,10725.0,13680.0,11.65,14.79,9.66,13.75,0.57,0.87,16.84,7.75,5.4,4.06,0.0,,,Negative,,,,,8,6,10,0,4,4,6,8,10,8,0,2,6.459999999999999,6.0
EXIDEIND,Exide Industries,auto,362.0,38.63,0.7,52.73,9.32,305.0,620.35,4.93,-9.11,4.64,10.54,0.48,1.41,7.34,4.78,31.07,,0.13,,,Negative,,,,,4,1,8,0,8,2,4,4,10,6,0,2,4.11,17.0
MRF,MRF Limited,auto,112500.0,27.26,0.38,58.38,4133.98,102124.0,143850.0,11.21,-13.45,6.39,13.84,0.74,1.37,13.25,7.05,0.81,2.7,0.18,,,Positive,,,,,8,1,8,0,4,4,6,6,10,8,0,10,5.55,13.0
HEROMOTOCO,Hero MotoCorp,auto,3721.0,17.93,0.98,50.54,207.3,3461.6,6246.25,10.83,14.79,10.23,13.98,1.14,1.46,21.62,11.45,0.62,,0.03,,,Negative,,,,,8,6,8,0,10,4,6,8,10,10,0,2,6.759999999999999,4.0
UNOMINDA,Uno Minda,auto,876.95,52.2,0.75,41.67,16.77,680.8,1255.0,22.2,24.14,6.02,11.03,0.68,1.23,19.07,7.27,53.74,,0.38,,,Neutral,,,,,10,8,10,0,8,4,4,8,10,8,0,6,7.180000000000001,3.0
EICHERMOT,Eicher Motors,auto,5345.25,33.0,0.48,62.15,161.82,3886.1,5575.5,16.78,15.63,23.83,27.52,0.53,1.15,24.22,13.37,16.42,,0.02,,,Neutral,,,,,8,8,8,0,4,8,10,8,10,10,0,6,7.68,2.0
TVSMOTOR,TVS Motor Company,auto,2415.05,58.24,0.39,55.47,41.56,1873.0,2958.0,15.25,20.71,4.59,13.81,0.22,1.02,26.5,7.52,16.98,,3.12,,,Neutral,,,,,8,8,8,0,4,2,6,10,2,8,0,6,6.28,7.0
BALKRISIND,Balkrishna Industries,auto,2549.0,27.79,0.82,44.05,91.72,2265.3,3375.0,15.24,42.47,17.09,24.66,0.83,1.27,17.93,7.71,13.32,,0.33,,,Negative,,,,,8,10,10,0,10,6,8,8,10,8,0,2,7.76,1.0
BOSCHLTD,Bosch,auto,28200.0,41.27,0.76,57.9,686.77,26005.0,39089.0,5.21,-12.89,11.77,13.25,1.19,1.95,21.61,6.21,53.55,,0.0,,,Neutral,,,,,6,1,8,0,8,4,6,8,10,6,0,6,5.33,14.0
TIINDIA,Tube Investments of India,auto,2769.1,81.73,0.75,46.65,33.89,2407.1,4810.8,16.59,-62.34,4.46,10.63,0.97,1.6,20.29,8.13,1.03,10.04,0.41,,,Positive,,,,,8,1,10,0,8,2,4,8,10,8,0,10,5.749999999999999,11.0
SUNDRMFAST,Sundram Fasteners,auto,912.0,34.99,0.67,39.12,26.1,884.0,1505.95,4.31,6.6,9.31,16.03,1.06,1.86,16.23,8.76,-15.19,5.27,0.23,,,Neutral,,,,,4,6,10,0,8,4,6,8,10,8,0,6,6.18,9.0
M&M,Mahindra & Mahindra,auto,2665.8,24.1,1.05,40.61,110.62,1788.8,3270.95,11.16,10.98,8.07,18.3,0.47,1.3,16.97,6.29,74.06,4.22,1.46,,,Neutral,,,,,8,6,10,0,10,4,8,8,6,6,0,6,6.68,5.0
MOTHERSON,Samvardhana Motherson International,auto,130.99,22.35,1.5,52.18,6.03,115.83,216.99,18.07,104.38,3.73,9.86,0.65,0.97,11.48,4.67,58.96,,0.73,,,Negative,,,,,8,10,8,0,6,2,4,6,8,6,0,2,6.06,10.0
