Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Expert Recommendation Score,News Sentiment Score,Total Score,Rank
YESBANK,Yes Bank,midcap,16.85,24.14,0.12,45.94,0.7,16.02,28.55,23.15,99.85,,,,,4.89,0.55,-0.45,1.11,,,,Neutral,,,,,10,10,10,0,4,0,0,2,0,2,0,6,4.78,41.0
SRF,SRF Limited,midcap,2939.4,75.97,0.65,54.73,38.69,2089.1,3054.9,4.52,-22.3,8.22,17.33,0.56,1.03,12.25,6.1,-9.78,,0.44,,,Neutral,,,,,4,1,8,0,8,4,6,6,10,6,0,6,4.83,40.0
SBICARD,SBI Cards and Payment Services,midcap,878.45,41.0,0.39,68.63,21.49,647.95,884.5,-8.73,-12.96,20.29,,1.45,1.48,21.98,4.64,-12.56,6.41,3.3,,,Positive,,,,,2,1,8,0,4,8,0,8,2,6,0,10,4.05,45.0
FEDERALBNK,The Federal Bank,midcap,193.3,11.79,0.94,59.61,16.34,148.0,217.0,15.51,-4.21,,,,,14.85,1.35,29.21,1.45,,,,Neutral,,,,,8,1,8,0,10,0,0,6,0,4,0,6,3.83,47.0
MARICO,Marico,midcap,652.95,52.61,0.25,63.85,12.36,490.55,736.9,7.95,9.19,15.45,19.88,0.97,1.64,36.97,16.28,16.77,,0.1,,,Neutral,,,,,6,6,8,0,4,6,8,10,10,10,0,6,6.88,16.0
COLPAL,Colgate-Palmolive (India),midcap,2399.0,44.49,0.38,40.17,53.74,2341.4,3890.0,9.5,15.98,24.09,32.62,0.86,1.54,73.73,35.61,6.04,,0.04,,,Positive,,,,,6,8,10,0,4,8,10,10,10,10,0,10,7.8999999999999995,6.0
CONCOR,Container Corporation of India,midcap,689.9,32.24,0.6,52.54,21.45,601.25,1180.0,4.53,6.9,14.61,21.69,2.99,3.44,10.85,6.26,-8.33,3.46,0.07,,,Neutral,,,,,4,6,8,0,8,6,8,6,10,6,0,6,5.979999999999999,27.0
MPHASIS,Mphasis,midcap,2494.4,28.83,0.75,54.94,86.55,2170.25,3237.95,5.33,4.87,11.83,15.85,1.47,1.67,18.59,8.98,4.43,,0.2,,,Negative,,,,,6,4,8,0,8,4,6,8,10,8,0,2,5.859999999999999,29.0
POLICYBZR,PB Fintech,midcap,1591.0,298.75,0.47,53.5,5.23,1108.05,2246.9,41.7,,5.33,-1.63,7.88,8.0,1.13,-2.65,170.91,11.78,0.05,,,Positive,,,,,10,0,8,0,4,4,2,2,10,2,0,10,4.3,44.0
DIXON,Dixon Technologies (India),midcap,13175.0,95.31,0.5,41.48,138.28,7198.0,19149.0,106.39,130.84,2.38,3.48,0.6,1.02,24.94,5.75,174.32,33.5,0.31,,,Neutral,,,,,10,10,10,0,8,2,2,8,10,6,0,6,6.880000000000001,15.0
MRF,MRF Limited,midcap,112500.0,27.26,0.38,58.38,4133.98,102124.0,143850.0,11.21,-13.45,6.39,13.84,0.74,1.37,13.25,7.05,0.81,2.7,0.18,,,Positive,,,,,8,1,8,0,4,4,6,6,10,8,0,10,5.55,36.0
