Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Expert Recommendation Score,News Sentiment Score,Total Score,Rank
TATACHEM,Tata Chemicals,smallcap,863.0,,1.15,57.93,-22.92,756.0,1247.35,-9.17,,-3.8,14.09,0.58,1.05,2.05,3.4,-4.68,,0.28,,,Negative,,,,,2,0,8,0,10,2,6,2,10,4,0,2,3.5600000000000005,24.0
RAMCOCEM,The Ramco Cements,smallcap,892.75,56.18,0.33,60.81,15.96,700.0,1060.0,-5.08,-4.55,4.25,16.17,0.27,0.57,5.05,3.76,-5.36,2.84,0.72,,,Negative,,,,,2,1,8,0,4,2,6,4,8,4,0,2,3.51,25.0
AARTIIND,Aarti Industries,smallcap,389.0,38.63,0.85,43.66,10.12,364.15,769.25,13.42,-15.31,5.17,14.34,0.38,0.96,8.16,4.16,-36.9,,0.71,,,Neutral,,,,,8,1,10,0,10,4,6,4,8,6,0,6,5.43,16.0
RADICO,Radico Khaitan,smallcap,2425.0,105.74,0.75,71.19,22.97,1429.85,2637.7,19.48,22.37,6.65,13.24,0.89,1.72,11.28,6.23,57.24,12.67,0.35,,,Positive,,,,,8,8,4,0,8,4,6,6,10,6,0,10,6.199999999999998,11.0
LAURUSLABS,Laurus Labs,smallcap,611.5,165.71,1.16,59.82,3.7,385.45,646.2,5.85,6.62,3.8,16.44,0.58,1.23,3.98,3.08,40.17,7.96,0.67,,,Negative,,,,,6,6,8,0,10,2,6,2,8,4,0,2,4.96,20.0
CROMPTON,Crompton Greaves Consumer Electricals,smallcap,353.8,43.35,0.47,52.66,8.16,268.95,484.0,8.7,20.63,6.76,9.98,0.83,1.31,13.48,6.23,28.02,7.33,0.14,,,Positive,,,,,6,8,8,0,4,4,4,6,10,6,0,10,5.8999999999999995,13.0
NAVINFLUOR,Navin Fluorine International,smallcap,4204.0,79.05,0.5,60.11,53.2,2875.95,4381.0,4.09,-21.3,11.73,21.4,1.2,1.81,11.84,5.01,-15.68,,0.56,,,Neutral,,,,,4,1,8,0,8,4,8,6,8,6,0,6,4.93,21.0
ABREL,Aditya Birla Real Estate,smallcap,1872.75,,0.53,50.07,-2.4,1494.5,3140.0,7.87,,-0.53,10.44,0.31,1.72,7.5,3.02,105.54,,1.16,,,Negative,,,,,6,0,8,0,8,2,4,4,6,4,0,2,3.8600000000000003,23.0
BSOFT,Birlasoft,smallcap,386.85,18.96,0.87,31.33,20.45,384.55,789.9,5.42,2.82,10.6,13.08,3.55,3.71,22.71,13.2,-22.0,3.31,0.04,,,Neutral,,,,,6,4,10,0,10,4,6,8,10,10,0,6,6.4799999999999995,10.0
DELHIVERY,Delhivery,smallcap,253.6,900.75,-0.11,43.65,0.28,236.53,478.0,11.23,,0.24,1.36,4.16,4.42,-2.72,-3.22,-10.13,2.01,0.15,,,Neutral,,,,,8,0,10,0,4,2,2,2,10,2,0,6,3.8800000000000012,22.0
CASTROLIND,Castrol India,smallcap,202.4,21.66,0.78,40.07,9.37,162.6,284.4,5.72,7.3,17.28,23.77,1.48,2.02,42.15,21.24,9.73,,0.04,,,Positive,,,,,6,6,10,0,8,6,8,10,10,10,0,10,7.3999999999999995,6.0
GESHIP,The Great Eastern Shipping Company,smallcap,929.0,4.61,0.74,55.74,201.76,797.5,1543.7,7.35,18.72,51.57,54.57,5.02,5.44,23.06,8.71,-1.48,,0.21,,,Neutral,,,,,6,8,8,0,8,10,10,8,10,8,0,6,7.579999999999998,5.0
GSPL,Gujarat State Petronet,smallcap,290.95,12.03,0.7,50.74,24.21,260.05,469.7,3.4,-12.28,7.75,17.23,1.16,1.33,16.13,9.35,18.27,1.47,0.01,,,Neutral,,,,,4,1,8,0,8,4,6,8,10,8,0,6,5.2299999999999995,18.0
KEC,KEC International,smallcap,780.0,44.74,0.6,52.21,17.5,648.6,1313.25,9.68,68.29,2.15,6.35,0.98,1.11,8.82,3.53,110.67,3.98,0.85,,,Negative,,,,,6,10,8,0,8,2,4,4,8,4,0,2,5.460000000000001,15.0
SONATSOFTW,Sonata Software,smallcap,345.0,22.48,1.09,32.32,15.38,341.95,769.7,16.76,36.97,4.39,7.61,0.92,0.99,22.79,8.55,-19.26,6.39,0.42,,,Positive,,,,,8,10,10,0,10,2,4,8,10,8,0,10,7.2,7.0
CESC,CESC Limited,smallcap,153.48,14.61,0.81,66.04,10.53,119.0,212.49,10.01,-0.92,8.46,15.93,0.75,0.95,12.38,1.77,40.33,1.68,1.23,,,Positive,,,,,8,1,8,0,10,4,6,6,6,4,0,10,5.25,17.0
CYIENT,Cyient,smallcap,1260.95,22.12,1.22,41.89,57.21,1185.0,2190.0,3.85,-3.67,8.68,14.54,1.39,2.15,17.52,9.56,-19.72,,0.1,,,Negative,,,,,4,1,10,0,6,4,6,8,10,8,0,2,5.209999999999999,19.0
HFCL,HFCL Limited,smallcap,78.86,31.1,0.94,40.48,2.54,77.0,171.0,0.39,21.71,8.04,14.01,1.34,2.08,9.45,5.22,35.15,2.73,0.29,,,Neutral,,,,,2,8,10,0,10,4,6,4,10,6,0,6,5.68,14.0
KAYNES,Kaynes Technology India,smallcap,4722.05,118.82,-0.34,55.1,39.95,2424.0,7822.0,55.0,57.01,10.89,13.85,2.58,3.51,10.63,6.12,212.35,11.72,0.27,,,Neutral,,,,,10,10,8,0,4,4,6,6,10,6,0,6,6.879999999999999,9.0
NATCOPHARM,NATCO Pharma,smallcap,799.85,7.67,0.44,33.49,104.13,757.05,1639.0,11.76,47.01,43.58,50.37,2.73,4.14,25.88,15.63,70.99,2.0,0.03,,,Negative,,,,,8,10,10,0,4,10,10,10,10,10,0,2,8.46,3.0
CAMS,Computer Age Management Services,smallcap,3712.0,39.95,0.15,57.23,93.13,2942.05,5367.5,28.04,41.66,33.39,42.91,2.62,3.25,41.34,21.63,92.21,,0.09,,,Neutral,,,,,10,10,8,0,4,10,10,10,10,10,0,6,8.68,1.0
CDSL,Central Depository Services (India),smallcap,1220.0,45.9,0.31,53.58,26.58,863.4,1989.8,55.21,57.41,46.11,61.59,3.08,3.33,30.35,21.28,92.79,16.68,0.0,,,Neutral,,,,,10,10,8,0,4,10,10,10,10,10,0,6,8.68,2.0
HSCL,Himadri Speciality Chemical,smallcap,421.75,40.62,0.68,46.38,10.46,302.0,688.7,15.31,22.24,11.07,16.93,0.75,1.92,15.44,9.01,111.79,,0.1,,,Positive,,,,,8,8,10,0,8,4,6,8,10,8,0,10,7.2,8.0
HINDCOPPER,Hindustan Copper,smallcap,219.54,53.03,1.74,47.2,4.15,195.4,415.8,11.31,32.33,21.12,38.19,0.55,1.05,13.52,8.26,-9.39,,0.04,,,Positive,,,,,8,10,10,0,4,8,10,6,10,8,0,10,7.9,4.0
NEULANDLAB,Neuland Laboratories,smallcap,11950.0,51.67,1.03,53.02,233.72,5540.0,18100.0,-3.0,-5.43,19.55,24.45,1.1,2.15,26.36,14.77,159.63,,0.08,,,Neutral,,,,,2,1,8,0,10,8,8,10,10,10,0,6,6.029999999999999,12.0
