Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics
YESBANK,Yes Bank,Midcap,16.85,24.14,0.12,45.94,0.70,16.02,28.55,23.15%,99.85%,Data not found,Data not found,Data not found,Data not found,4.89%,0.55%,-0.45%,1.11,n/a,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
SRF,SRF Limited,Midcap,"2,939.40",75.97,0.65,54.73,38.69,"2,089.10","3,054.90",4.52%,-22.30%,8.22%,17.33%,0.56,1.03,12.25%,6.10%,-9.78%,n/a,0.44,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
SBICARD,SBI Cards and Payment Services,Midcap,878.45,41.00,0.39,68.63,21.49,647.95,884.50,-8.73%,-12.96%,20.29%,Data not found,1.45,1.48,21.98%,4.64%,-12.56%,6.41,3.30,N/A,N/A,Positive,N/A,N/A,N/A,N/A
FEDERALBNK,The Federal Bank,Midcap,193.30,11.79,0.94,59.61,16.34,148.00,217.00,15.51%,-4.21%,Data not found,Data not found,Data not found,Data not found,14.85%,1.35%,29.21%,1.45,n/a,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
MARICO,Marico,Midcap,652.95,52.61,0.25,63.85,12.36,490.55,736.90,7.95%,9.19%,15.45%,19.88%,0.97,1.64,36.97%,16.28%,16.77%,n/a,0.10,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
COLPAL,Colgate-Palmolive (India),Midcap,"2,399.00",44.49,0.38,40.17,53.74,"2,341.40","3,890.00",9.50%,15.98%,24.09%,32.62%,0.86,1.54,73.73%,35.61%,6.04%,n/a,0.04,N/A,N/A,Positive,N/A,N/A,N/A,N/A
CONCOR,Container Corporation of India,Midcap,689.90,32.24,0.60,52.54,21.45,601.25,"1,180.00",4.53%,6.90%,14.61%,21.69%,2.99,3.44,10.85%,6.26%,-8.33%,3.46,0.07,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
MPHASIS,Mphasis,Midcap,"2,494.40",28.83,0.75,54.94,86.55,"2,170.25","3,237.95",5.33%,4.87%,11.83%,15.85%,1.47,1.67,18.59%,8.98%,4.43%,n/a,0.20,N/A,N/A,Negative,N/A,N/A,N/A,N/A
POLICYBZR,PB Fintech,Midcap,"1,591.00",298.75,0.47,53.50,5.23,"1,108.05","2,246.90",41.70%,Data not found,5.33%,-1.63%,7.88,8.00,1.13%,-2.65%,170.91%,11.78,0.05,N/A,N/A,Positive,N/A,N/A,N/A,N/A
DIXON,Dixon Technologies (India),Midcap,"13,175",95.31,0.50,41.48,138.28,"7,198","19,149",106.39%,130.84%,2.38%,3.48%,0.60,1.02,24.94%,5.75%,174.32%,33.50,0.31,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
MRF,MRF Limited,Midcap,"112,500",27.26,0.38,58.38,"4,133.98","102,124","143,850",11.21%,-13.45%,6.39%,13.84%,0.74,1.37,13.25%,7.05%,0.81%,2.70,0.18,N/A,N/A,Positive,N/A,N/A,N/A,N/A
ACC,ACC Limited,Midcap,"1,945.00",14.09,0.22,57.53,137.86,"1,778.45","2,844.00",9.12%,59.48%,12.30%,13.70%,1.03,1.60,15.33%,6.17%,-7.18%,2.20,0.03,N/A,N/A,Positive,N/A,N/A,N/A,N/A
HINDPETRO,Hindustan Petroleum Corporation,Midcap,361.50,12.72,1.00,62.55,28.33,287.55,457.15,2.68%,-64.36%,1.38%,3.76%,0.20,0.61,40.45%,7.10%,53.70%,1.67,1.58,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
MUTHOOTFIN,Muthoot Finance,Midcap,"2,375.00",19.15,1.05,63.65,124.41,"1,505.00","2,435.40",24.57%,20.11%,46.18%,Data not found,134.31,134.31,19.14%,4.78%,44.70%,3.35,3.06,N/A,N/A,Positive,N/A,N/A,N/A,N/A
GMRAIRPORT,GMR Airports,Midcap,75.73,n/a,0.78,56.22,-0.35,67.75,103.75,21.67%,Data not found,-2.76%,35.03%,0.88,1.06,-1671.32%,2.06%,70.61%,n/a,n/a,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
PHOENIXLTD,The Phoenix Mills,Midcap,"1,635.75",56.24,0.69,53.76,29.03,"1,338.05","2,068.50",Data not found,1.00%,25.89%,55.38%,0.92,1.51,11.36%,6.53%,45.82%,n/a,0.35,N/A,N/A,Positive,N/A,N/A,N/A,N/A
CUMMINSIND,Cummins India,Midcap,"3,040.00",42.08,0.91,59.67,72.49,"2,636.75","4,171.90",18.85%,31.29%,19.62%,22.59%,2.33,2.89,27.82%,13.42%,67.01%,n/a,0.00,N/A,N/A,Positive,N/A,N/A,N/A,N/A
KPITTECH,KPIT Technologies,Midcap,"1,308.00",47.06,0.43,50.02,27.78,"1,142.30","1,928.70",23.14%,40.01%,13.48%,18.60%,1.21,1.33,31.28%,13.14%,-3.17%,14.19,0.14,N/A,N/A,Positive,N/A,N/A,N/A,N/A
TATACOMM,Tata Communications,Midcap,"1,575.00",42.31,1.49,58.05,39.19,"1,291.00","2,175.00",15.63%,14.77%,4.87%,16.92%,0.37,0.44,58.08%,4.88%,-3.78%,25.31,6.97,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
INDHOTEL,The Indian Hotels Company,Midcap,785.30,62.10,0.41,52.42,12.67,506.45,894.90,20.28%,53.98%,22.56%,33.09%,1.39,1.54,14.17%,8.09%,100.43%,n/a,0.26,N/A,N/A,Neutral,N/A,N/A,N/A,N/A
