Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Expert Recommendation Score,News Sentiment Score,Total Score,Rank
HINDUNILVR,Hindustan Unilever,consumer durables,2257.85,49.4,0.23,52.31,45.73,2136.0,3035.0,1.23,4.15,17.14,22.64,1.2,1.66,20.17,11.06,-12.65,10.45,0.03,,,Neutral,,,,,4,4,8,0,4,6,8,8,10,10,0,6,6.08,13.0
ITC,ITC Limited,consumer durables,410.25,25.43,0.21,49.53,16.1,391.2,528.5,8.43,-2.0,26.31,34.6,1.85,3.0,28.74,17.15,4.97,6.81,0.0,,,Neutral,,,,,6,1,10,0,4,10,10,10,10,10,0,6,6.93,4.0
NESTLEIND,Nestlé India,consumer durables,2247.0,66.41,0.17,54.83,33.9,2110.0,2778.0,4.11,9.0,16.41,22.17,0.29,0.88,,,-18.4,,0.09,,,Positive,,,,,4,6,8,0,4,6,8,0,10,0,0,10,4.7,22.0
BRITANNIA,Britannia Industries,consumer durables,4950.0,55.14,0.62,60.28,89.53,4506.0,6469.9,5.19,-0.2,12.31,18.27,0.72,1.19,56.68,19.46,-10.78,37.05,0.85,,,Negative,,,,,6,1,8,0,8,6,8,10,8,10,0,2,6.11,12.0
TATACONSUM,Tata Consumer Products,consumer durables,1001.9,83.76,0.66,61.9,11.96,882.9,1247.1,13.69,-7.62,6.79,13.16,0.65,1.2,7.03,4.67,-10.36,5.05,0.14,,,Neutral,,,,,8,1,8,0,8,4,6,4,10,6,0,6,5.229999999999999,18.0
DABUR,Dabur India,consumer durables,506.8,50.05,0.32,51.18,10.12,480.0,672.0,2.29,0.2,14.32,18.85,0.83,1.45,18.35,8.82,-9.0,8.66,0.16,,,Neutral,,,,,4,4,8,0,4,6,8,8,10,8,0,6,5.88,15.0
GODREJCP,Godrej Consumer Products,consumer durables,1160.0,,0.35,68.78,-4.43,979.5,1541.85,1.74,,-3.2,21.18,0.69,1.0,-4.25,9.83,-4.33,9.75,0.31,,,Neutral,,,,,4,0,8,0,4,2,8,2,10,8,0,6,4.279999999999999,23.0
MARICO,Marico,consumer durables,652.95,52.61,0.25,63.85,12.36,490.55,736.9,7.95,9.19,15.45,19.88,0.97,1.64,36.97,16.28,16.77,,0.1,,,Neutral,,,,,6,6,8,0,4,6,8,10,10,10,0,6,6.88,5.0
COLPAL,Colgate-Palmolive (India),consumer durables,2399.0,44.49,0.38,40.17,53.74,2341.4,3890.0,9.5,15.98,24.09,32.62,0.86,1.54,73.73,35.61,6.04,,0.04,,,Positive,,,,,6,8,10,0,4,8,10,10,10,10,0,10,7.8999999999999995,2.0
PGHH,Procter & Gamble Hygiene and Health Care,consumer durables,13529.0,61.68,0.22,48.65,220.55,12106.0,17745.0,7.72,-5.28,16.59,24.96,1.05,1.41,71.66,29.75,-15.16,,0.0,,,Neutral,,,,,6,1,10,0,4,6,8,10,10,10,0,6,6.33,10.0
