Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Expert Recommendation Score,News Sentiment Score,Total Score,Rank
ABBOTINDIA,Abbott India,healthcare,30650.0,48.93,0.07,56.37,628.0,25200.0,31899.0,8.51,16.49,21.38,24.82,1.91,2.42,34.88,17.69,30.17,,0.02,,,Positive,,,,,6,8,8,0,4,8,8,10,10,10,0,10,7.499999999999999,6.0
ALKEM,Alkem Laboratories,healthcare,4866.8,27.11,0.52,51.19,180.09,4407.05,6439.9,0.97,36.88,16.88,19.34,1.68,2.61,17.98,8.38,8.29,5.08,0.12,,,Negative,,,,,2,10,8,0,8,6,8,8,10,8,0,2,6.56,13.0
APOLLOHOSP,Apollo Hospitals Enterprise,healthcare,6614.0,72.61,0.38,60.28,91.12,5693.2,7545.35,14.81,65.98,6.2,12.75,0.86,1.13,13.5,6.84,27.91,13.25,0.93,,,Neutral,,,,,8,10,8,0,4,4,6,6,8,6,0,6,6.48,14.0
AUROPHARMA,Aurobindo Pharma,healthcare,1155.0,19.4,0.66,53.33,59.81,1031.05,1592.0,10.85,26.62,11.29,21.25,0.96,1.98,11.18,6.46,22.03,2.19,0.27,,,Negative,,,,,8,10,8,0,8,4,8,6,10,6,0,2,6.8599999999999985,10.0
BIOCON,Biocon,healthcare,340.9,50.92,0.43,51.25,6.71,259.85,404.7,1.02,-33.1,5.45,21.98,0.61,0.99,5.43,2.06,46.69,2.0,0.63,,,Negative,,,,,4,1,8,0,4,4,8,4,8,4,0,2,4.21,20.0
CIPLA,Cipla,healthcare,1441.0,23.36,0.38,42.46,61.74,1317.25,1702.05,6.39,34.51,18.67,25.14,2.47,3.71,16.45,10.75,22.72,4.11,0.02,,,Negative,,,,,6,10,10,0,4,8,10,8,10,10,0,2,7.76,2.0
DIVISLAB,Divi's Laboratories,healthcare,5776.65,74.19,0.38,50.83,77.84,3450.0,6285.45,21.16,49.38,22.77,31.17,4.74,7.57,12.15,7.65,56.22,11.18,0.0,,,Negative,,,,,10,10,8,0,4,8,10,6,10,8,0,2,7.76,3.0
DRREDDY,Dr. Reddy's Laboratories,healthcare,1145.0,17.76,0.35,43.49,64.35,1092.45,1421.49,14.74,2.68,17.24,27.48,1.18,1.92,18.47,10.32,19.8,,0.16,,,Negative,,,,,8,4,10,0,4,6,10,8,10,10,0,2,6.959999999999999,9.0
FORTIS,Fortis Healthcare,healthcare,694.0,68.61,0.68,68.48,10.18,406.0,744.5,12.03,38.9,10.17,18.87,0.39,0.45,7.75,4.45,71.72,6.71,0.14,,,Neutral,,,,,8,10,8,0,8,4,8,4,10,6,0,6,6.779999999999999,11.0
GLENMARK,Glenmark Pharmaceuticals,healthcare,1538.0,,0.86,65.09,-6.23,959.05,1830.95,6.11,,-1.26,21.98,0.75,1.28,-20.7,5.36,88.44,2.57,0.21,,,Negative,,,,,6,0,8,0,10,2,8,2,10,6,0,2,4.56,19.0
GRANULES,Granules India,healthcare,484.0,24.64,0.31,42.0,19.75,389.35,721.0,-1.46,21.2,10.74,21.24,0.66,1.4,13.38,7.83,45.94,,0.32,,,Negative,,,,,2,8,10,0,4,4,8,6,10,8,0,2,5.859999999999999,16.0
IPCALAB,Ipca Laboratories,healthcare,1508.55,52.25,0.3,64.84,28.74,1052.0,1755.9,21.42,29.2,8.36,18.24,1.17,2.35,7.67,5.9,52.29,5.68,0.15,,,Negative,,,,,10,10,8,0,4,4,8,4,10,6,0,2,6.760000000000001,12.0
LAURUSLABS,Laurus Labs,healthcare,611.5,165.71,1.16,59.82,3.7,385.45,646.2,5.85,6.62,3.8,16.44,0.58,1.23,3.98,3.08,40.17,7.96,0.67,,,Negative,,,,,6,6,8,0,10,2,6,2,8,4,0,2,4.96,18.0
LUPIN,Lupin,healthcare,2024.0,32.25,0.58,49.11,62.7,1493.3,2402.9,12.94,60.07,13.04,23.14,0.94,1.58,14.38,7.39,78.05,,0.22,,,Neutral,,,,,8,10,10,0,8,6,8,6,10,8,0,6,7.580000000000001,4.0
MANKIND,Mankind Pharma,healthcare,2423.6,47.72,,57.22,50.81,1901.05,3054.8,17.04,17.96,17.54,24.85,2.02,3.1,22.58,12.41,,9.19,0.04,,,Negative,,,,,8,8,8,0,0,6,8,8,10,10,0,2,6.96,8.0
MAXHEALTH,Max Healthcare Institute,healthcare,1102.0,105.72,0.28,54.38,10.31,743.1,1227.95,25.86,-4.98,15.42,24.93,1.19,1.37,13.37,7.21,64.19,,0.2,,,Neutral,,,,,10,1,8,0,4,6,8,6,10,8,0,6,6.13,15.0
SUNPHARMA,Sun Pharmaceutical Industries,healthcare,1733.95,36.36,0.55,54.96,47.71,1377.2,1960.35,8.76,28.59,22.16,28.38,1.82,2.56,15.2,7.91,49.78,6.01,0.04,,,Negative,,,,,6,10,8,0,8,8,10,8,10,8,0,2,7.56,5.0
SYNGENE,Syngene International,healthcare,720.2,58.17,0.56,59.16,12.48,607.65,960.6,-0.69,0.28,14.16,28.28,1.35,1.71,12.95,6.75,23.65,6.64,0.14,,,Neutral,,,,,2,4,8,0,8,6,10,6,10,6,0,6,5.58,17.0
TORNTPHARM,Torrent Pharmaceuticals,healthcare,3221.05,58.78,0.32,59.4,55.03,2505.3,3590.7,7.9,24.61,16.48,32.52,0.59,1.03,25.38,10.69,45.77,,0.42,,,Positive,,,,,6,8,8,0,4,6,10,10,10,10,0,10,7.499999999999999,7.0
ZYDUSLIFE,Zydus Lifesciences,healthcare,885.45,19.7,0.47,41.72,45.03,855.1,1324.3,16.94,53.27,20.39,27.95,1.3,2.14,18.9,10.31,40.16,4.08,0.01,,,Neutral,,,,,8,10,10,0,4,8,10,8,10,10,0,6,8.18,1.0
