Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Expert Recommendation Score,News Sentiment Score,Total Score,Rank
TCS,Tata Consultancy Services,it,3604.0,26.76,0.48,44.48,134.77,3457.0,4592.25,5.55,9.85,19.34,26.1,2.42,2.62,48.67,24.5,7.95,11.92,0.08,,,Positive,,,,,6,6,10,0,4,8,10,10,10,10,0,10,7.6,4.0
INFY,Infosys,it,1569.0,23.23,0.62,33.29,67.6,1358.35,2006.45,3.02,11.25,17.29,23.09,1.85,2.13,33.04,15.9,21.94,7.38,0.09,,,Neutral,,,,,4,6,10,0,8,6,8,10,10,10,0,6,6.9799999999999995,11.0
HCLTECH,HCL Technologies,it,1591.0,24.89,0.61,45.75,63.97,1235.0,2012.2,5.33,6.79,14.71,20.32,2.34,2.55,24.92,13.26,30.82,6.18,0.09,,,Negative,,,,,6,6,10,0,8,6,8,8,10,10,0,2,6.959999999999999,13.0
WIPRO,Wipro,it,262.5,22.11,0.68,36.4,11.83,208.5,324.6,-2.15,12.52,13.97,18.89,2.71,2.83,15.74,7.62,28.34,,0.23,,,Positive,,,,,2,6,10,0,8,6,8,8,10,8,0,10,6.3999999999999995,15.0
TECHM,Tech Mahindra,it,1415.0,33.6,0.39,34.75,42.21,1162.95,1807.7,-0.69,33.02,7.14,11.29,1.62,1.86,8.63,4.44,34.47,4.75,0.08,,,Negative,,,,,2,10,10,0,4,4,4,4,10,6,0,2,5.36,18.0
MPHASIS,Mphasis,it,2494.4,28.83,0.75,54.94,86.55,2170.25,3237.95,5.33,4.87,11.83,15.85,1.47,1.67,18.59,8.98,4.43,,0.2,,,Negative,,,,,6,4,8,0,8,4,6,8,10,8,0,2,5.859999999999999,17.0
PERSISTENT,Persistent Systems,it,5483.85,64.64,0.53,51.59,85.3,3232.05,6788.9,19.17,27.23,11.66,15.41,1.78,2.2,24.13,12.24,75.02,13.88,0.08,,,Neutral,,,,,8,10,8,0,8,4,6,8,10,10,0,6,7.38,7.0
OFSS,Oracle Financial Services Software,it,7820.0,29.67,0.45,43.98,262.84,7022.55,13220.0,9.22,6.89,33.9,44.56,5.48,6.11,30.74,19.61,203.77,,0.0,,,Neutral,,,,,6,6,10,0,4,10,10,10,10,10,0,6,7.68,3.0
COFORGE,Coforge,it,8069.95,68.16,0.67,59.9,118.97,4287.25,10027.0,23.91,6.35,6.95,11.76,1.52,1.7,24.23,11.91,66.74,9.05,0.13,,,Neutral,,,,,10,6,8,0,8,4,4,8,10,10,0,6,6.88,14.0
TATAELXSI,Tata Elxsi,it,5200.45,40.14,0.91,35.93,129.93,5157.7,9080.0,7.09,1.56,21.65,26.4,5.54,5.69,34.51,20.14,-22.41,,0.08,,,Neutral,,,,,6,4,10,0,10,8,10,10,10,10,0,6,7.4799999999999995,5.0
LTTS,L&T Technology Services,it,4480.85,36.82,0.6,41.22,122.27,4200.0,6000.0,17.82,2.8,12.68,17.24,2.37,2.46,26.66,12.32,-9.74,8.48,0.11,,,Positive,,,,,8,4,10,0,8,6,6,10,10,10,0,10,7.2,9.0
KPITTECH,KPIT Technologies,it,1308.0,47.06,0.43,50.02,27.78,1142.3,1928.7,23.14,40.01,13.48,18.6,1.21,1.33,31.28,13.14,-3.17,14.19,0.14,,,Positive,,,,,10,10,8,0,4,6,8,10,10,10,0,10,8.2,1.0
CYIENT,Cyient,it,1260.95,22.12,1.22,41.89,57.21,1185.0,2190.0,3.85,-3.67,8.68,14.54,1.39,2.15,17.52,9.56,-19.72,,0.1,,,Negative,,,,,4,1,10,0,6,4,6,8,10,8,0,2,5.209999999999999,19.0
ZENSARTECH,Zensar Technologies,it,701.85,24.62,0.95,45.12,28.33,530.25,984.95,5.46,5.72,12.55,15.06,2.92,3.04,20.34,10.63,23.38,,0.04,,,Neutral,,,,,6,6,10,0,10,6,6,8,10,10,0,6,6.9799999999999995,12.0
MASTEK,Mastek,it,2170.0,17.51,1.25,40.41,124.54,2061.05,3375.0,11.57,37.08,11.62,15.91,1.33,1.42,16.1,7.73,6.42,2.95,0.29,,,Positive,,,,,8,10,10,0,6,4,6,8,10,8,0,10,7.3999999999999995,6.0
RATEGAIN,RateGain Travel Technologies,it,445.6,25.95,0.51,36.37,17.15,419.4,859.0,21.22,47.19,19.05,18.67,5.16,5.3,13.46,7.05,-0.32,3.37,0.01,,,Neutral,,,,,10,10,10,0,8,8,8,6,10,8,0,6,8.08,2.0
TANLA,Tanla Platforms,it,464.0,12.1,1.69,44.44,38.6,409.35,1086.45,6.73,-4.27,12.98,18.15,1.88,2.03,31.7,15.06,-38.52,2.98,0.03,,,Neutral,,,,,6,1,10,0,4,6,8,10,10,10,0,6,6.33,16.0
AFFLE,Affle (India),it,1610.0,61.61,1.17,61.03,26.11,1033.35,1884.0,28.24,28.99,16.88,17.11,2.95,3.07,14.99,6.81,36.79,8.37,0.05,,,Neutral,,,,,10,10,8,0,10,6,6,6,10,6,0,6,7.379999999999999,8.0
SONATSOFTW,Sonata Software,it,345.0,22.48,1.09,32.32,15.38,341.95,769.7,16.76,36.97,4.39,7.61,0.92,0.99,22.79,8.55,-19.26,6.39,0.42,,,Positive,,,,,8,10,10,0,10,2,4,8,10,8,0,10,7.2,10.0
