Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Expert Recommendation Score,News Sentiment Score,Total Score,Rank
RELIANCE,Reliance Industries,largecap,1274.0,24.94,0.65,57.7,51.13,1156.0,1608.8,7.12,-1.12,7.36,17.14,0.62,1.18,9.01,4.15,-11.69,2.11,0.37,,,Neutral,,,,,6,1,8,0,8,4,6,4,10,6,0,6,4.93,21.0
TCS,Tata Consultancy Services,largecap,3604.0,26.76,0.48,44.48,134.77,3457.0,4592.25,5.55,9.85,19.34,26.1,2.42,2.62,48.67,24.5,7.95,11.92,0.08,,,Positive,,,,,6,6,10,0,4,8,10,10,10,10,0,10,7.6,4.0
HINDUNILVR,Hindustan Unilever,largecap,2257.85,49.4,0.23,52.31,45.73,2136.0,3035.0,1.23,4.15,17.14,22.64,1.2,1.66,20.17,11.06,-12.65,10.45,0.03,,,Neutral,,,,,4,4,8,0,4,6,8,8,10,10,0,6,6.08,13.0
ITC,ITC Limited,largecap,410.25,25.43,0.21,49.53,16.1,391.2,528.5,8.43,-2.0,26.31,34.6,1.85,3.0,28.74,17.15,4.97,6.81,0.0,,,Neutral,,,,,6,1,10,0,4,10,10,10,10,10,0,6,6.93,9.0
INFY,Infosys,largecap,1569.0,23.23,0.62,33.29,67.6,1358.35,2006.45,3.02,11.25,17.29,23.09,1.85,2.13,33.04,15.9,21.94,7.38,0.09,,,Neutral,,,,,4,6,10,0,8,6,8,10,10,10,0,6,6.9799999999999995,7.0
LT,Larsen & Toubro,largecap,3488.0,34.45,0.72,65.62,101.28,3141.0,3963.5,16.76,11.98,5.52,11.37,0.92,1.24,14.99,4.46,2.31,,1.19,,,Neutral,,,,,8,6,8,0,8,4,4,6,6,6,0,6,5.779999999999999,15.0
ASIANPAINT,Asian Paints,largecap,2326.25,53.03,0.4,63.06,44.14,2124.75,3394.9,-3.58,-22.16,12.37,16.81,1.27,2.06,30.99,15.13,-32.95,12.44,0.13,,,Neutral,,,,,2,1,8,0,4,6,6,10,10,10,0,6,5.33,18.0
MARUTI,Maruti Suzuki India,largecap,11490.0,24.91,0.36,37.16,462.51,10725.0,13680.0,11.65,14.79,9.66,13.75,0.57,0.87,16.84,7.75,5.4,4.06,0.0,,,Negative,,,,,8,6,10,0,4,4,6,8,10,8,0,2,6.459999999999999,11.0
SUNPHARMA,Sun Pharmaceutical Industries,largecap,1733.95,36.36,0.55,54.96,47.71,1377.2,1960.35,8.76,28.59,22.16,28.38,1.82,2.56,15.2,7.91,49.78,6.01,0.04,,,Negative,,,,,6,10,8,0,8,8,10,8,10,8,0,2,7.56,5.0
TATAMOTORS,Tata Motors,largecap,673.25,7.81,1.54,47.9,,606.3,1179.0,4.53,,7.17,11.22,0.62,0.97,42.2,6.25,-4.61,,0.95,,,Positive,,,,,4,0,10,0,4,4,4,10,8,6,0,10,4.8999999999999995,23.0
NESTLEIND,Nestlé India,largecap,2247.0,66.41,0.17,54.83,33.9,2110.0,2778.0,4.11,9.0,16.41,22.17,0.29,0.88,,,-18.4,,0.09,,,Positive,,,,,4,6,8,0,4,6,8,0,10,0,0,10,4.7,25.0
M&M,Mahindra & Mahindra,largecap,2665.8,24.1,1.05,40.61,110.62,1788.8,3270.95,11.16,10.98,8.07,18.3,0.47,1.3,16.97,6.29,74.06,4.22,1.46,,,Neutral,,,,,8,6,10,0,10,4,8,8,6,6,0,6,6.68,10.0
ULTRACEMCO,UltraTech Cement,largecap,11481.0,53.17,0.45,65.12,216.46,9250.0,12145.0,3.13,-2.65,8.76,16.45,0.42,0.86,12.22,6.39,8.76,5.41,0.27,,,Positive,,,,,4,1,8,0,4,4,6,6,10,6,0,10,4.75,24.0
ADANIENT,Adani Enterprises,largecap,2316.65,75.08,0.98,54.19,30.08,2025.0,3743.9,12.29,-2.39,3.56,12.84,0.36,0.83,8.12,3.46,-10.13,,1.69,,,Neutral,,,,,8,1,8,0,10,2,6,4,4,4,0,6,4.63,26.0
ADANIPORTS,Adani Ports and Special Economic Zone,largecap,1180.5,25.25,0.63,59.96,46.85,995.65,1621.4,12.78,40.0,35.03,59.94,0.56,1.06,16.87,6.43,20.18,4.47,0.85,,,Negative,,,,,8,10,8,0,8,10,10,8,8,6,0,2,7.760000000000001,1.0
