Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Expert Recommendation Score,News Sentiment Score,Total Score,Rank
ANANTRAJ,Anant Raj,realty,490.4,43.09,0.61,42.05,11.3,314.0,947.9,48.53,57.86,19.89,22.75,2.54,5.9,8.28,4.28,205.46,,0.1,,,Positive,,,,,10,10,10,0,8,8,8,4,10,6,0,10,7.8,3.0
GODREJPROP,Godrej Properties,realty,2126.8,40.05,0.95,53.5,53.17,1901.0,3402.7,29.84,121.91,35.23,1.61,0.25,1.43,7.63,-0.3,49.92,5.46,1.22,,,Positive,,,,,10,10,8,0,10,10,2,4,6,2,0,10,6.7,6.0
DLF,DLF Limited,realty,680.25,42.07,0.35,48.3,16.18,622.0,967.6,21.79,68.49,57.22,26.5,0.56,2.3,7.06,2.16,13.56,4.19,0.11,,,Positive,,,,,10,10,10,0,4,10,10,4,10,4,0,10,7.800000000000001,2.0
SIGNATURE,Signatureglobal (India),realty,1096.0,189.01,,44.83,5.79,1010.8,1647.0,113.61,,3.04,0.53,0.13,1.24,4.8,-0.4,,24.33,3.61,,,Neutral,,,,,10,0,10,0,0,2,2,2,2,2,0,6,3.580000000000001,10.0
LODHA,Macrotech Developers,realty,1196.9,47.32,0.29,53.44,25.27,1035.15,1649.95,42.09,50.06,18.48,27.27,0.27,1.63,15.78,3.69,40.29,6.54,0.44,,,Positive,,,,,10,10,8,0,4,8,10,8,10,4,0,10,7.8,4.0
SOBHA,Sobha,realty,1225.05,198.49,1.14,48.86,6.17,1096.85,2160.8,0.48,-35.52,1.71,7.3,0.04,1.08,1.96,0.96,80.38,3.51,0.44,,,Positive,,,,,2,1,10,0,10,2,4,2,10,2,0,10,3.75,9.0
PRESTIGE,Prestige Estates Projects,realty,1180.0,83.43,0.63,45.98,14.2,1083.65,2074.8,-4.31,-66.56,7.29,30.54,0.16,1.19,14.77,2.65,54.4,2.93,0.72,,,Positive,,,,,2,1,10,0,8,4,10,6,8,4,0,10,4.95,8.0
PHOENIXLTD,The Phoenix Mills,realty,1635.75,56.24,0.69,53.76,29.03,1338.05,2068.5,,1.0,25.89,55.38,0.92,1.51,11.36,6.53,45.82,,0.35,,,Positive,,,,,0,4,8,0,8,10,10,6,10,6,0,10,5.8,7.0
OBEROIRLTY,Oberoi Realty,realty,1634.9,23.07,0.64,51.78,70.97,1359.25,2343.65,31.59,59.41,47.34,59.96,0.68,3.89,14.79,7.78,60.15,4.02,0.14,,,Positive,,,,,10,10,8,0,8,10,10,6,10,8,0,10,8.400000000000002,1.0
BRIGADE,Brigade Enterprises,realty,966.5,37.01,0.82,47.27,27.35,914.85,1453.1,31.69,101.11,12.13,26.91,0.27,1.16,11.97,3.27,46.33,,1.04,,,Neutral,,,,,10,10,10,0,10,6,10,6,6,4,0,6,7.579999999999999,5.0
